Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,Tot_P,Christian_Percent,SA2_CODE_2021
113,2939,30,28,68,4588,11122,26.4251034,118011344
211,5700,36,73,69,429,14793,38.53173798,118011345
161,4673,26,87,72,2528,11924,39.18986917,118011346
111,3000,22,53,30,577,7454,40.24684733,118011347
141,5108,63,83,53,3115,14429,35.40092869,118011649
166,4059,38,49,72,1023,9958,40.76119703,118011650
502,4751,56,353,315,386,11809,40.23202642,118021564
627,5917,34,419,474,460,13605,43.49136347,118021565
230,5035,37,69,41,635,9790,51.43003064,118021566
205,5292,61,55,165,382,11084,47.74449657,118021567
356,4854,37,124,154,578,9846,49.2992078,118021568
237,6617,51,115,120,974,16206,40.83055658,118021569
262,5514,52,196,147,447,12735,43.29799764,118021570
181,7681,42,96,107,625,19521,39.3473695,118021651
129,5328,33,55,92,193,10610,50.21677663,118021652
258,7930,79,80,226,439,13412,59.12615568,118021653
96,2857,18,26,50,352,5611,50.91783996,118021654
1394,10002,115,89,7347,10,23855,41.92831691,119011354
107,423,12,45,518,0,1469,28.79509871,119011355
865,5186,82,71,4012,0,12773,40.6012683,119011356
828,9381,135,327,1301,7,17200,54.54069767,119011358
848,9075,325,366,1963,6,17664,51.37567935,119011360
2004,8538,117,141,6773,5,22484,37.97367017,119011361
1545,5079,89,339,5927,9,16981,29.9098993,119011571
2297,5794,86,237,5148,0,18434,31.43105132,119011572
313,5293,60,193,6407,13,14637,36.16178179,119011655
355,4538,86,73,6346,0,13416,33.82528324,119011656
365,6586,84,270,939,16,11340,58.07760141,119011657
532,9727,83,285,1075,0,15994,60.81655621,119011658
987,11225,117,546,2258,9,20332,55.20853826,119021362
1066,8175,52,279,8076,7,21544,37.9455997,119021366
496,7744,86,179,3044,6,14577,53.12478562,119021367
430,2869,56,349,10462,3,17092,16.7856307,119021573
382,2108,29,259,5551,0,10135,20.79921066,119021574
1345,3583,88,1278,419,8,11905,30.09659807,119021659
1093,2613,103,1339,321,3,9059,28.84424329,119021660
830,5556,65,414,661,17,12220,45.46644845,119021661
546,11250,60,93,521,45,17969,62.60782459,119021662
254,3947,27,43,537,16,6261,63.04104776,119021663
861,6837,60,275,1092,11,13791,49.57581031,119031370
330,7213,35,178,273,20,12594,57.27330475,119031371
444,12485,48,262,941,29,20220,61.74579624,119031372
839,4547,72,393,1212,14,11606,39.17801137,119031373
1481,11581,65,2176,1084,42,25259,45.84900432,119031374
1040,2513,39,2377,371,4,12046,20.86169683,119031664
863,4457,38,600,727,14,12109,36.80733339,119031665
401,7738,83,594,308,21,14715,52.58579681,119031666
444,3986,57,1169,415,13,9528,41.83459278,119031667
589,7642,41,154,770,13,12973,58.90696061,119041377
619,5507,96,1906,714,26,13051,42.19600031,119041378
665,8039,89,1217,1037,38,16200,49.62345679,119041379
251,8766,61,195,1093,57,13896,63.08290155,119041380
1032,7855,116,2949,2150,35,19853,39.56580869,119041381
249,11109,65,137,639,55,16659,66.68467495,119041382
730,5979,65,315,3228,31,16579,36.06369504,119041668
243,5071,25,97,1947,19,10145,49.98521439,119041669
644,7055,62,1481,1902,23,15831,44.56446213,119041670
1068,2778,58,448,387,18,10731,25.88761532,119041671
610,14299,115,497,426,31,23113,61.86561675,120011383
333,10494,89,209,234,54,18366,57.13819013,120011385
503,12269,83,227,278,64,20933,58.6108059,120011386
448,6715,82,824,316,13,12842,52.28936303,120011672
752,2852,75,773,497,8,11453,24.90177246,120011673
197,5996,44,100,62,114,15579,38.48770781,120021387
237,5398,62,102,82,67,13824,39.04803241,120021389
164,3171,60,54,77,74,9464,33.50591716,120021674
348,6771,82,133,125,86,17532,38.62080767,120021675
632,5630,46,310,286,22,11999,46.92057671,120031392
566,10347,68,475,418,21,17434,59.34954686,120031393
547,6442,102,177,363,68,17948,35.89257856,120031394
273,6145,54,213,137,53,13520,45.45118343,120031395
